ticker,company_name,current_yield,avg_yield_5y,yield_gap_ratio,market_cap,equity_ratio,consecutive_no_cut_years,per,pbr,payout_ratio,last_updated,data_quality_flag,y1_fiscal_year,y1_dividend_per_share,y1_yield,y1_is_missing,y2_fiscal_year,y2_dividend_per_share,y2_yield,y2_is_missing,y3_fiscal_year,y3_dividend_per_share,y3_yield,y3_is_missing,y4_fiscal_year,y4_dividend_per_share,y4_yield,y4_is_missing,y5_fiscal_year,y5_dividend_per_share,y5_yield,y5_is_missing
4334.T,ユークス,0.026246719160104987,0.028382432481735453,-0.07524771962391985,3207456000.0,64.95647994636079,1,18.334936,1.2417542,48.150003000000005,2026-09-24,,2021,10.0,0.02106393438913562,False,2022,10.0,0.00818553424649869,False,2023,30.0,0.05949276463066058,False,2024,10.0,0.02798565461903366,False,2025,10.0,0.025184274523348715,False
4335.T,ＩＰＳホールディングス,0.03508771929824561,0.03305815742685358,0.061393677971398164,2477876992.0,57.32934666480234,5,,1.3637189,30.53,2026-09-24,,2021,20.0,0.03014626938996308,False,2022,20.0,0.03432600232387706,False,2023,30.0,0.0322620747470369,False,2024,35.0,0.03521770967339173,False,2025,38.0,0.03333873099999914,False
4337.T,ぴあ,0.0,0.0,0.0,40101416960.0,9.166815921670974,0,12.079327,3.724477,16.18,2026-09-24,no_dividend_history,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
4341.T,西菱電機,0.0249728555917481,0.031299593816397825,-0.20213483477651883,3115160832.0,46.00849080163157,0,12.534022,0.58571506,44.9,2026-09-24,,2021,28.0,0.03657053354960142,False,2022,25.0,0.03332897463686186,False,2023,0.0,0.0,True,2024,40.0,0.05613082071626065,False,2025,23.0,0.03046764017926517,False
4343.T,イオンファンタジー,0.0,0.005487080615590326,-1.0,54459219968.0,12.216203691745596,0,19.522053,6.91985,10.6400006,2026-09-24,,2021,30.0,0.01645452188687088,False,2022,10.0,0.0037583784725659934,False,2023,10.0,0.0038703226475199086,False,2024,10.0,0.0033521800709948525,False,2025,0.0,0.0,True
4344.T,ソースネクスト,0.0,0.0005,-1.0,14384757760.0,45.83143781171513,0,,2.7280118,0.0,2026-09-24,,2021,0.46,0.0025,False,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
4345.T,シーティーエス,0.030921820303383897,0.027676462423996722,0.11726057433457626,35128926208.0,76.21681952734508,9,13.170432,2.143368,44.57,2026-09-24,,2021,13.7,0.018618686820719176,False,2022,21.5,0.029358311990405474,False,2023,21.5,0.035707848780925915,False,2024,25.0,0.029001157922208642,False,2025,26.5,0.025696306605724428,False
4346.T,ＮＥＸＹＺ．Ｇｒｏｕｐ,0.029239766081871343,0.03800063920139926,-0.2305454145941136,13346057216.0,17.751260917702055,3,8.519472,3.9253042,16.610001,2026-09-24,,2021,40.0,0.06326123969094506,False,2022,20.0,0.03334654589805836,False,2023,20.0,0.03017676356052657,False,2024,20.0,0.026588610227429664,False,2025,30.0,0.03663003663003663,False
4347.T,ブロードメディア,0.02632964718272775,0.019240276564911243,0.3684651098386751,13534493696.0,51.86499765274426,3,17.314005,2.7928689,54.669999999999995,2026-09-24,,2021,0.0,0.0,True,2022,25.0,0.027356367715532244,False,2023,30.0,0.023600664767422633,False,2024,33.0,0.020540925630324124,False,2025,50.0,0.024703424711277216,False
4350.T,メディカルシステムネットワーク,0.023121387283236993,0.02471383489273156,-0.06443547172692776,15169579008.0,21.576779026217228,2,14.15712,0.8924856,32.75,2026-09-24,,2021,10.0,0.01833639518154811,False,2022,13.0,0.033018040541320876,False,2023,12.0,0.019648024854239773,False,2024,12.0,0.029276736923260768,False,2025,12.0,0.02328997696328827,False
4351.T,山田再生系債権回収総合事務所,0.011947431302270013,0.01177338861966593,0.014782717892567243,3565256704.0,58.12591076189372,9,95.00567,1.1394236,113.9,2026-09-24,,2021,10.0,0.012600554873555308,False,2022,10.0,0.012025221551715976,False,2023,10.0,0.010674598950027057,False,2024,10.0,0.011760192280292238,False,2025,10.0,0.011806375442739079,False
4356.T,応用技術,0.024906600249066,0.01754899459846359,0.41926080775285945,9169667072.0,75.96499873402158,8,11.784561,8.695322,29.349999999999998,2026-09-24,,2021,20.0,0.008881006224943573,False,2022,30.0,0.015820724208843086,False,2023,30.0,0.01966390847065104,False,2024,30.0,0.021746018782309664,False,2025,40.0,0.02163331530557058,False
4360.T,マナック・ケミカル・パートナーズ,0.010214504596527068,0.01972041476901995,-0.4820339878158303,8002483200.0,73.81761170629736,0,10.24809,0.6839143,13.08,2026-09-24,,2021,0.0,0.0,True,2022,15.0,0.027420899085490252,False,2023,15.0,0.030505561157840956,False,2024,15.0,0.02585170675858665,False,2025,10.0,0.014823906843181902,False
4361.T,川口化学工業,0.036968576709796676,0.04300432683088584,-0.14035215909377452,1975776896.0,35.33472461516759,8,5.2938876,0.5996287,19.580000000000002,2026-09-24,,2021,50.0,0.043974996092065774,False,2022,50.0,0.03924263628121603,False,2023,50.0,0.042459420466228484,False,2024,60.0,0.047327774592229796,False,2025,60.0,0.04201680672268908,False
4362.T,日本精化,0.031238378579397545,0.026445773516295484,0.18122385643773775,58310922240.0,78.54002686501272,9,13.294769,1.1432546,48.419996999999995,2026-09-24,,2021,41.5,0.019921518237581308,False,2022,57.0,0.027818520944794523,False,2023,64.0,0.022606525178114,False,2024,72.0,0.03184515225607082,False,2025,84.0,0.03003715096491676,False
